Site Category Name,Sub Category Name,Category ID,Category Name,Questions,Audit Question Default value,Findings (Assertive Statement),Risk,Actions/Recommendation,Action Category,UA-UC,Risk Severity,Risk Probability,Color Code,Cost Type,Combined Risk Rating,Note
Client Leased,Open Plot,E.22,Review of Material Stacking and Handling,"Sprinkler, roof sufficient safe distance maintained for Material stacking in HD rack?",,"Sprinkler, roof,  Light fixture safe distance are not maintained for Material stacking in HD rack.",Risk of fire spread easily and sprinklers coverage will be less,"Sprinkler, roof,  Light fixture safe distance should be maintained for Material stacking in HD rack.",Storage Practices,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,F,Review of MHE Operation and Maintenance,Review of MHE Operation and Maintenance,,,,,,,,,,,0,
Client Leased,Open Plot,F.1,Review of MHE Operation and Maintenance,Is daily/Weekly/Monthly inspection checklist maintained and records of the same are available ?,,Daily/Weekly/Monthly inspection checklist is not maintained and recorded,Defective observation in the MHE may got missed if inspection checklist is not maintained,Daily/Weekly/Monthly inspection checklist should be maintained,Checklist,UA-UC,High,High,Yellow,Operatiol Action,16,
Client Leased,Open Plot,F.2,Review of MHE Operation and Maintenance,"Are MHE's safety devices like safety belt, horn, reverse horn, front light, rear light, beacon light, Blue light and emergency stop are in good condition and working ? if applicable",,"MHE's safety devices like safety belt,  horn, reverse horn, front light, rear light, beacon light, Blue light and emergency stop are not in good condition and working .",Major/minor MHE related incident occurred if any safety devices are not in functional,MHE's safety devices should be in good condition and working.,MHE,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,F.3,Review of MHE Operation and Maintenance,Is MHE servicing and maintenance done on timely basis? Check AMC and servicing record Sampling number...,,MHE servicing and maintenance are not done on timely basis.,Defective part in the MHE may leads to accident,MHE servicing and maintenance should be done on a timely basis.,MHE,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,F.4,Review of MHE Operation and Maintenance,Whether dedicated complaint register maintained ?,,Dedicated Complaint register is not available,It will be difficult to track the defective observation in the machines and take necessary corrective action,Dedicated Complaint register should be maintained,Records,UA-UC,Medium,Medium,Yellow,Operatiol Action,9,
Client Leased,Open Plot,F.5,Review of MHE Operation and Maintenance,Have MHE drivers gone through any internal training ?,,Internal training to the MHE drivers is not provided,Major incident/accident may occur if training is not provided to the operators,Internal Training to the MHE operators should be provided on a regular interval of time,Training,UA-UC,Medium,Medium,Red,Operatiol Action,27,
Client Leased,Open Plot,F.6,Review of MHE Operation and Maintenance,Have MHE drivers gone through any external training by OEM at least once in 6 months ?,,MHE drivers not gone through any external training by OEM at least once in 6 months,Major incident/accident may occur if training is not provided to the operators,MHE drivers should go through any external training by OEM at least once in 6 months,Training,UA-UC,Medium,Medium,Red,Opex,54,"Since training is requiring cost, the point is defined as Opex"
Client Leased,Open Plot,F.7,Review of MHE Operation and Maintenance,Are name of person authorize to drive MHE displayed at the prominent location ?,,Name of Authorized MHE drivers is not displayed at prominent location in the warehouse,Unauthorize person may try to drive the MHE and which may further result in some major incident/accident,Name of authorized person to operate MHE must be displayed in the warehouse,Display Board,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,F.8,Review of MHE Operation and Maintenance,Is safe distance maintained between the two MHEs?,,Safe distance not maintained b/w the two MHE's,The operator will not be able to safe guard the machine if it is required to apply the emergency breaks,Safe distance should be maintained between the two MHEs,Forklift,UA-UC,High,High,Red,Operatiol Action,48,
Client Leased,Open Plot,F.9,Review of MHE Operation and Maintenance,Is MHEs key register maintained ?,,Key register for MHE is not maintained,Security may issue the key to the unauthorize person which may result in major incident/accident,Key issue register for all MHE should be prepared and key should be issued only to the authorized person,Key Register,UA-UC,Medium,Medium,Yellow,Operatiol Action,9,
Client Leased,Open Plot,F.10,Review of MHE Operation and Maintenance,Is Safe Working load on each MHE displayed ?,,SWL is not displayed on MHE,"Person may lift heavy load from the MHE, which  may result in the major accident/topple of MHE/Damage of material",SWL should be displayed on the MHE,SWL,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,F.11,Review of MHE Operation and Maintenance,Is Speed limit mentioned in the facility ? (5 Km/Hr inside warehouse) and followed by the Operators?,,Speed limit not mentioned in the warehouse and not followed by the Operator,Major accident or even fatality may occur if someone crosses the speed limit,Speed limit should be mentioned in the warehouse at multiple location and should be strictly followed,Display Board,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,F.12,Review of MHE Operation and Maintenance,Is MHE charging area kept isolated and no flammable / combustible material is kept near to the charging area (3 mtr)?,,MHE charging area not  kept isolated and no flammable / combustible material is kept near to the charging area (3 mtr)?,Risk of fire,MHE charging area should be kept isolated and should be kept clear of the unwanted material,MHE Charging Area,UA-UC,High,Medium,Yellow,Operatiol Action,12,
Client Leased,Open Plot,F.13,Review of MHE Operation and Maintenance,Is the MHE charger kept on the stand and no hanging cable of charger?,,MHE charger is kept on the stand and found hanging cable of the charger.,Risk of fire,MHE charger should be kept on the stand and the cable should be hung on the hanger.,MHE Charging Area,UA-UC,Medium,Medium,Yellow,Capex,27,
Client Leased,Open Plot,F.14,Review of MHE Operation and Maintenance,Use of any fabricated cage strictly prohibited?,,Fabricated cage is used on MHEs,Inappropriate load and cage may result in some major accident.,Fabricated cage use is strictly prohibited unless it is authorized by the OEM,Safety Cage,UA-UC,High,High,Red,Capex,144,"Since MHE needs to be purchased to close this point, the point is defined as Capex"
Client Leased,Open Plot,F.15,Review of MHE Operation and Maintenance,Is portable eye washer available in the MHE charging area ?,,Portable eye washer is not available in the MHE Charging area,"Eye injury may occur, if battery water splashes into someone's eye",Portable eye washer should be installed near to the MHE battery charging area,Eye Washer,UA-UC,Medium,Medium,Yellow,Opex,18,
Client Leased,Open Plot,G,Review of Dock Safety,Review of Dock Safety,,,,,,,,,,,0,
Client Leased,Open Plot,G.1,Review of Dock Safety,"Once vehicle lined up to the dock area , vehicle engine should be turned off and vehicle keys should be handover to security / dock person by driver and driver should not sit in the vehicle ?",,"Once vehicle is lined up to the dock area , vehicle engine is not turned off and vehicle keys are not handed  over to the security / dock person by driver and driver should is not sitting in the vehicle",Not only a major accident even fatality may occur if dock safety rules are not followed,"Once vehicle lined up to the dock area , vehicle engine should be turned off and vehicle keys should be handover to security / dock person by driver and driver should not sit in the vehicle",Process,UA-UC,Very High,Medium,Red,Operatiol Action,45,
Client Leased,Open Plot,G.2,Review of Dock Safety,Is wheel chocks available and used at the time of loading/unloading process ? Sampling number...,,Wheel chocks not used at the time of loading/unloading process,Major incident/accident may occur,Wheel chocks should be used at the time of loading/off-loading,Wheel Chock,UA-UC,Very High,High,Red,Operatiol Action,60,
Client Leased,Open Plot,G.3,Review of Dock Safety,Is speed limit of 15Km/Hr mentioned outside the facility ?,,Speed limit is not mentioned outside the warehouse,Major accident or even fatality may occur if someone crosses the speed limit,Speed limit should be mentioned in the warehouse at multiple location and should be strictly followed,Display Board,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,G.4,Review of Dock Safety,Is dock platform/floor in good condition without any damage ?,,Dock platform is not in good condition,Person trip risk or material fall risk,Dock platform should be in good condition,Dock Platform,UA-UC,High,Low,Yellow,Opex,16,
Client Leased,Open Plot,G.5,Review of Dock Safety,Is dock bumpers available at each dock and no damaged bumpers observed ?,,Dock bumpers are not installed at each dock,"1. Dock wall may get damage
2. Walls of the warehouse may got crack as the fleet will directly hit the dock wall",Dock bumpers should be provided to all the docks,Dock Bumpers,UA-UC,High,Medium,Yellow,Capex,36,
Client Leased,Open Plot,G.6,Review of Dock Safety,Is dock side wall in good condition without any evidence of damage ?,,Dock side wall found damaged,"Cracks in the wall, FM Brand image issue",Dock wall should be in good condition and dock bumpers should be repaired,Docks,UA-UC,High,Low,Yellow,Capex,24,
Client Leased,Open Plot,G.7,Review of Dock Safety,Is dock railing available and are in good condition ?,,Dock railing is not available,Fall Risk - Someone may fall from the dock,Dock railings should be provided on the docks wherever possible,Railings,UA-UC,Medium,Medium,Red,Capex,81,
Client Leased,Open Plot,G.8,Review of Dock Safety,Are the motors of all automatic doors/dock leveller earthed ?,NA,All automatic doors/dock leveller are not earthed,Electrocution may occur,All automatic doors/dock leveller should be earthed,Dock Leveller,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,G.9,Review of Dock Safety,Are all docks shutters in good condition ?,,Dock shutters are not in good condition,Theft,All dock shutters should be in good condition,Shutter,UA-UC,High,Low,Yellow,Opex,16,
Client Leased,Open Plot,G.10,Review of Dock Safety,Is adequate illumination is available in the yard area ?,,Adequate illumination is not provided in the Yard area,"Misjudgement of the position, shape or speed can lead to the incidents and injury",A minimum of 120 to 150 lux level should be maintained in the warehouse,Illumination,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,G.11,Review of Dock Safety,Is focus light available while working at dock area ?,,Focus lights are not installed at the dock area,Major chances of accidents as person works inside the truck for loading/off-loading of material,Focus lights should be provided to all the dock in the warehouse,Focus Lights,UA-UC,Medium,High,Red,Capex,108,
Client Leased,Open Plot,H,Review of Electrical Safety,Review of Electrical Safety,,,,,,,,,,,0,
Client Leased,Open Plot,H.1,Review of Electrical Safety,Is SLD prepared and updated available ?,NA,SLD is not available for the warehouse,Electrician will not be able to identify the route of faulty wire,SLD should be prepared and followed strictly for any electrical maintenance,SLD,Others,Low,Low,Yellow,Opex,8,SLD - Single Line Diagram
Client Leased,Open Plot,H.2,Review of Electrical Safety,Are the electrical installations inspected and repaired by the authorized PWD licensed electrician only ?,NA,Electrical installations not inspected and not repaired by the authorized PWD licensed electrician only,Inappropriate selection and installation of electrical equipment by untrained electrician may lead to major hazard,Electrical installations should be inspected and should be repaired by the authorized PWD licensed electrician only,Maintenance,UA-UC,High,High,Yellow,Opex,32,
Client Leased,Open Plot,H.3,Review of Electrical Safety,Are electrical rubber mats conforming to IS 15652 kept under each panel boards ?,,Electrical rubber mats conforming to IS 15652 not kept under each panel boards,Electrical shock to the personal operating electrical panel,Electrical rubber mats conforming to IS 15652 should be kept under each panel boards,Rubber Mats,UA-UC,Very High,Medium,Red,Capex,135,
Client Leased,Open Plot,H.4,Review of Electrical Safety,Is proper earthing network maintained and earthing provided to all Panel DBs etc.?,,Proper earthing network not maintained and Earthing is not provided to all DBs,Electrocution may occur,A proper earthing network should be maintained and earthing should be provided to all DBs.,Earthing,UA-UC,Very High,High,Red,Capex,180,
Client Leased,Open Plot,H.5,Review of Electrical Safety,Is proper rated ELCBs/RCCBs are installed at various locations ? And are checked once in 6 month?,,Proper rated ELCBs/RCCBs are not installed at various locations.,"An Earth-leakage circuit breaker (ELCB) is a safety device used in electrical installations with high earth impedance to prevent shock. It detects small stray voltages on the metal enclosures of electrical equipment and interrupts the circuit if the voltage level exceeds danger threshold. RCD, Residual-Current Device or RCCB, Residual Circuit Current Breaker. It is an electrical wiring device whose function is to disconnect the circuit when it detects currents leaking to the earth wire. It also gives protection against electric shock or electrocution caused by direct contacts",Proper rated ELCBs/RCCBs should be installed at various location and should be check once in a 6 month,ELCB/RCCB,UA-UC,High,High,Red,Capex,144,"If MCB is there, then also point can be closed as it serves the purpose of auto-tripping in case of voltage surge"
Client Leased,Open Plot,H.6,Review of Electrical Safety,Are the cable above ground supported with proper clamps and conduits/cable tray?,,Cable above ground are not supported with proper clamps and conduits/cable tray,Rodents may damage the wire/Person injury due to trip hazard,All cable in the warehouse should be supported with proper clamps and conduits/cable tray,Cable Dressing,UA-UC,High,Medium,Red,Capex,108,
Client Leased,Open Plot,H.7,Review of Electrical Safety,Is the hole made for cable entry on panel or wall is sealed properly ?,,Hole made for cable entry on panel or wall is not sealed properly,"If there is a fire on any one side, there are chances that the fire may spread on both the sides, snakes & rodents may come inside Warehouse from this hole",Hole made for cable entry on panel or wall should be sealed properly,Maintenance,UA-UC,Medium,Low,Yellow,Opex,12,
Client Leased,Open Plot,H.8,Review of Electrical Safety,Is the cable gland provided in electrical equipment and panels?,,Cable glands are not provided in electrical equipment and panels.,There are chances  rodents/lizard may enter inside the panel and Short circuit may occur,,Cable Glands,UA-UC,Medium,Low,Yellow,Opex,12,
Client Leased,Open Plot,H.9,Review of Electrical Safety,Is danger notice/signage displayed at all prominent locations as like transformer area/DG area/Electrical panels ?,,Danger notice signage is not displayed near to the high voltage area,Life risk of a person not aware about the risk associated with the same,Danger notice/signage should be displayed at all prominent locations as like transformer area/DG area/Electrical panels,Display Board,UA-UC,High,Medium,Red,Opex,72,
Client Leased,Open Plot,H.10,Review of Electrical Safety,Are cables properly routed & identification tags provided?,,Cables not routed properly and identification tags are not provided,Wire damage risk and error during maintenance activities,All cable should be properly routed and identification tag should be provided for all the wires mainly high voltage wires,Cable Dressing,UA-UC,Medium,Low,Yellow,Capex,18,
Client Leased,Open Plot,H.11,Review of Electrical Safety,"Are Panel's / Distribution board's  / Inverter batteries properly covered & closed ,such that no current-carrying parts are exposed?",,Panel's / Distribution board's  / Inverter batteries are not properly covered & closed,Electric shock,"All Panels, distribution boards and other such equipment should be properly covered and closed",Checkpoint,UA-UC,Medium,Low,Red,Opex,36,
Client Leased,Open Plot,H.12,Review of Electrical Safety,No visibility of loose connection in any equipment /Panels,,Loose connections are observed in the warehouse,Short circuit may occur,There should not be any loose connections in the electrical equipment,Maintenance,UA-UC,High,Medium,Red,Opex,72,
Client Leased,Open Plot,H.13,Review of Electrical Safety,"Is it confirmed that no temporary  extension boards are used, there are no electrical sockets with multiple plugs and no temporary connections/cable joints ?",,"Temporary extension boards, electrical socket with multiple plugs and temporary cable connections are observed in the warehouse",Short circuit due to overloading of the power point,Temporary extension boards/electrical sockets with multiple plugs should not be provided in the warehouse,Extension Boards,UA-UC,High,Medium,Red,Opex,72,
Client Leased,Open Plot,H.14,Review of Electrical Safety,Is lightning arrester installed in the facility ?,,Lightning arrester not installed at site,It may result in the damage of the building structure and loss of personal life,"In-order to protect the warehouse from the effect of lightning, lightning arrestors should be installed",Lightning Arrestor,UA-UC,Very High,Medium,Red,Capex,135,
Client Leased,Open Plot,H.15,Review of Electrical Safety,"Are the electrical installations freely accessible for operations, inspections and maintenance ?",,Electrical installations are not freely accessible,"If short circuit or any other problem occurs, then a person may find difficulty in reaching the electrical panel",All electrical installations should be freely accessible,Storage Method,UA-UC,High,Medium,Red,Operatiol Action,36,
Client Leased,Open Plot,H.16,Review of Electrical Safety,Is there no combustible material present near to the electrical panels ?,,There is combustible material present near to the electrical panel,"If any short circuits occur in the panel, then there are chances that it may catch fire and may turn into major incident",No combustible material should be present near to the electrical panel,Storage Method,UA-UC,High,Medium,Red,Opex,72,
Client Leased,Open Plot,H.17,Review of Electrical Safety,Is LOTO procedure available for electrical maintenance and strictly followed during electrical maintenance ?,NA,LOTO procedure not followed during electrical maintenance,Life Risk of the employee involved in the maintenance activity,LOTO procedure should be followed to have a control on hazardous energy during maintenance,LOTO,UA-UC,Very High,Medium,Red,Opex,90,LOTO - Lock Out Tag Out
Client Leased,Open Plot,H.18,Review of Electrical Safety,Is authorized person to operate main electrical panel displayed near to the panel area ?,,Authorized person name to operate electrical panel not displayed near to the electrical panel,Electrical shock to the person not trained to operate electrical panel or some other major incident/accident,Authorized person to operate electrical panel should be displayed near to the electrical panel,Display Board,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,H.19,Review of Electrical Safety,Is Emergency contact number displayed near to the main electrical panel and UPS rooms (Electrician/Warehouse Manager/ Security supervisor)?,,Emergency contact number not displayed near to the main electrical panel and UPS rooms (Electrician/Warehouse Manager/ Security supervisor),Anyone near to the panel will not able to find out a person responsible to tackle emergency faults in the electrical panel,Emergency contact number should be displayed near to the main electrical panel and UPS rooms (Electrician/Warehouse Manager/ Security supervisor),Display Board,UA-UC,High,High,Yellow,Opex,32,
Client Leased,Open Plot,H.20,Review of Electrical Safety,Is transformer area barricaded ? If applicable,,Transformer area is not barricaded,Life Risk,Transformer area should be barricaded,Barrication,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,H.21,Review of Electrical Safety,Is fire extinguisher and sand buckets installed near to the Diesel Genset/transformer area ?,,Fire Extinguisher and sand bucket is not installed near to the transformer area,Small fire may convert into big fire,Fire extinguisher and sand buckets should be installed near to the transformer area to have control on smaller fires,Fire Prevention Measures,UA-UC,Medium,Medium,Red,Capex,81,
Client Leased,Open Plot,H.22,Review of Electrical Safety,Is DG set earthed properly i.e. 2 for generator and 2 for body ?,,DG is not earthed properly i.e. 2 for generator and 2 for body,Electrocution may occur,2 for generator and 2 for body earthing should be provided to the DG set,Earthing,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,H.23,Review of Electrical Safety,Is DG area kept on a proper platform/foundation ?,,DG not kept on the platform,Rain water may enter in the acoustic enclosure of the DG set and may damage the panel and other parts of the DG set,DG should be kept on a proper platform,Genset,UA-UC,Low,Medium,Yellow,Capex,18,
Client Leased,Open Plot,H.24,Review of Electrical Safety,Is DG operating panel kept under shed in order to protect it from rain as well as avoiding electrocution incident ?,,DG operating panel not kept under shed in order to protect it from rain as well as avoiding electrocution incident,"1. Rain water may enter in the acoustic enclosure of the DG set and may damage the panel
2. If the DG is manually operated (start/stop), then a person may get electrical shock if it is operated during rain",DG operating panel should be kept under shed in order to protect it from rain,DG Shed,UA-UC,Low,Low,Red,Capex,36,
Client Leased,Open Plot,H.25,Review of Electrical Safety,Is required fire extinguisher installed near to the DG area ?,,Required FE not installed near to the DG area,"A FE installed near to DG will help us to extinguish a small fire however if it is not installed, a small fire may convert into a bigger fire",Required Fire Extinguisher should be installed near to the DG area,Fire Extinguishers,UA-UC,Medium,Low,Red,Capex,54,
Client Leased,Open Plot,H.26,Review of Electrical Safety,Is DG covered under AMC ? Check for the records,,DG not covered under AMC,"In case of any breakdown, it may take time to search for a vendor and may result into productivity loss",DG installed in the warehouse should be covered in AMC,Maintenance,UA-UC,Low,Low,Yellow,Opex,8,
Client Leased,Open Plot,H.27,Review of Electrical Safety,The electrical switches installed which may get exposed to rain water should be water resistant like IP-65 rating and properly shedding should be done ?,,The electrical switches installed are getting exposed to rain water & are not water resistant like IP-65 rating and no properly shedding is done,Current may increase resulting in electrical short circuit and further resulting into electrical fires,Make arrangements for shifting or providing shed or any other arrangement for the electrical fittings in the wet location,Electrical Work,UA-UC,High,Medium,Red,Capex,108,
Client Leased,Open Plot,H.28,Review of Electrical Safety,"Are all tools periodically inspected and authorized for safe use like a pneumatic stapler,  Drill Machine, Grinder etc?",,"All tools like pneumatic stapler, drill machine, grinder etc. are not periodically inspected",Major injury may occur if tools are not periodically inspected,"All tools like pneumatic stapler, cutter, etc. should be properly inspected and authorized for safe use",Inspection,UA-UC,Medium,Low,Yellow,Operatiol Action,6,
Client Leased,Open Plot,I,Review of Management of Dangerous Goods (DG) / Hazardous Material,Review of Management of Dangerous Goods (DG) / Hazardous Material,,,,,,,,,,,0,
Client Leased,Open Plot,I.1,Review of Management of Dangerous Goods (DG) / Hazardous Material,"Is hazard communication done as like display of Hazard signage, MSDS for all the hazardous material stored in the facility ?",,Hazard communication as like display of MSDs/hazard signage is not done for the hazardous material stored in the warehouse,Person may not be able to identify that what type of hazardous material is stored at the location and what are the hazards associated with the chemical,Hazard communication sign with their MSDS should be displayed at the location where hazardous material is stored,MSDS,UA-UC,High,Medium,Yellow,Opex,24,
Client Leased,Open Plot,I.2,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is adequate secondary containment provided for the liquid hazardous material ?,,Adequate Secondary containment not provided for the liquid hazardous material,"In case of spillage, chemical may spread all around the floor",All liquid chemicals stored in the warehouse should be stored in the secondary containment,Secondary Containment,UA-UC,High,Low,Red,Capex,72,
Client Leased,Open Plot,I.3,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is spill kit available and pictorial chart displayed on how to use a spill kit ?,,Spill kit is not available and no pictorial chart displayed on how to use a spill kit,Person will not be able to collect spills,Provide Spill kit display pictorial chart on how to use a spill kit,Spill Kit,UA-UC,High,Very Low,Yellow,Opex,8,
Client Leased,Open Plot,I.4,Review of Management of Dangerous Goods (DG) / Hazardous Material,Are chemicals stored in the facility are as per the compatibility matrix and displayed at prominent location ?,,Chemicals in the warehouse is not stored as per the compatibility matrix and it not displayed,"Staff may store incompatible material together. If not displayed, there are chances of error that incompatible chemical can be stored together",All chemicals should be stored as per the compatibility matrix and it should be displayed.,Storage Method,UA-UC,Medium,Medium,Red,Operatiol Action,27,
Client Leased,Open Plot,I.5,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is Eye Wash facility or safety shower installed in the facility at prominent location as per the risk assessment ? If required,,Eye wash facility and safety shower is not available in the warehouse,"If any chemical splashes on someone, it will be difficult to wash the entire body and eyes with the help of water",Eye wash facility and safety shower should be installed in the warehouse at prominent location as per the risk assessment,Eye Washer,UA-UC,High,Low,Red,Opex,48,
Client Leased,Open Plot,I.6,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is it confirmed that there is no obstruction to the emergency eye wash/ eye shower ?,,There is obstruction observed in the way of emergency shower / eye washer,"In case of any emergency, person may find difficulty in reaching to the eye wash/eye shower",There should not be any obstruction to the eye wash/eye shower,Storage Method,UA-UC,High,Low,Yellow,Operatiol Action,8,
Client Leased,Open Plot,I.7,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is training of the hazardous material handlers conducted timely and records of the same is maintained ?,,Training on Hazardous material handling not conducted. No records are available,Improper handling of the hazardous material may lead to any major/minor incident,Training to the handlers of hazardous material should be conducted,Training,UA-UC,High,Medium,Red,Operatiol Action,36,
Client Leased,Open Plot,I.8,Review of Management of Dangerous Goods (DG) / Hazardous Material,Are Fire extinguishers installed near to the hazardous material areas as per the requirement,,Adequate no. of FE's are not installed near to the Hazardous material storage area,"In case of small fire, person will not be able to extinguish the fire and that small fire may turn into big fire",Adequate number of fire extinguisher should be installed near to the hazardous material storage area,Fire Extinguishers,UA-UC,Medium,Low,Red,Capex,54,
Client Leased,Open Plot,I.9,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is the Compressed gas cylinder stored in a Upright position and secure with the chain? If applicable,,Compressed gas cylinder are not stored in a Upright position and secure with the chain.,If Compresses gas cylinder are not store in upright direction and  explode it may travel to any direction.,Compressed gas cylinder should be  stored in a Upright position and secure with the chain.,Compressed Gas Cylinder,UA-UC,High,Low,Red,Opex,48,
Client Leased,Open Plot,I.10,Review of Management of Dangerous Goods (DG) / Hazardous Material,Is the Full and empty Compressed gas cylinder store separately?,,The Full and empty Compressed gas cylinder is stored separately,Mixing of Cylinder and not able to identify during handling,Full and empty Compressed gas cylinder should be store separately.,Compressed Gas Cylinder,UA-UC,High,Low,Yellow,Opex,16,
Client Leased,Open Plot,J,"Review of Incident Statistics,  SQDC, QHSE requirement","Review of Incident Statistics,  SQDC, QHSE requirement",,,,,,,,,,,0,
Client Leased,Open Plot,J.1,"Review of Incident Statistics,  SQDC, QHSE requirement",Are all accidents and near-miss incidents reported ?,,Incidents/near miss are not reported,Corrective action may not be implemented to avoid reoccurrence of the incident,All incidents/near-miss incidents should be reported,Recommendation,UA-UC,High,Medium,Yellow,Operatiol Action,12,
Client Leased,Open Plot,J.2,"Review of Incident Statistics,  SQDC, QHSE requirement",Is recording & investigation of all the cases done to avoid recurrences ?,,No records of the incident investigation is available,Incident may reoccur if not investigated or recorded,All incidents should be recorded and investigated,Records,UA-UC,Very High,Medium,Yellow,Operatiol Action,15,
Client Leased,Open Plot,J.3,"Review of Incident Statistics,  SQDC, QHSE requirement",Have there been no/nil reports of commuting accidents due to non-compliance with the traffic rules?,,There are not any reports related to accidents due to non-compliance of the traffic rules,The company will not be able to take the necessary corrective action measures to prevent the reoccurrence,All accidents due to non-compliance with the traffic rules should be reported,Reports,UA-UC,Medium,Low,Yellow,Operatiol Action,6,
Client Leased,Open Plot,J.4,"Review of Incident Statistics,  SQDC, QHSE requirement",Is 41 Point Safety Checklist & training records maintained?,,41 Point Safety Checklist & Training records not maintained,Is a FM Benchmark wrt Safety in SQDC & needs to be maintained as per company standard,Maintain 41 point safety checklist & training records on monthly basis,Reports,UA-UC,High,High,Yellow,Operatiol Action,16,
Client Leased,Open Plot,J.5,"Review of Incident Statistics,  SQDC, QHSE requirement",Is the updated QHSE Policy display at the Prominent location?,NA,QHSE Policy is display at the Prominent location,QHSE standard Requirement,QHSE Policy should be  display at the Prominent location,Display Board,Others,Medium,Low,Yellow,Opex,12,
Client Leased,Open Plot,J.6,"Review of Incident Statistics,  SQDC, QHSE requirement",Is the HIRA and Environment Aspect Impact prepared?,NA,HIRA and Environment Aspect Impact is not  prepared and updated.,QHSE standard Requirement,HIRA and Environment Aspect Impact is not  prepared and updated.,Documentation,UA-UC,Medium,Low,Yellow,Operatiol Action,6,
Client Leased,Open Plot,J.7,Review of Emergency Preparedness and Mock drill,Is site safety committee formed?,,Safety Committee is not formed,Safety requirement,Form a Safety Committee,Display Board,UA-UC,High,Low,Yellow,Operatiol Action,8,
Client Leased,Open Plot,J.8,"Review of Incident Statistics,  SQDC, QHSE requirement",Are safety posters and other related signage is displayed at prominent locations and are visible from anywhere in the warehouse ?,,Safety posters and other related safety signage is not displayed in the warehouse at prominent location,"There are chances that the collaborators will not be able to understand related hazard, PPEs requirement, emergency exits, etc.",Safety posters and other related signage should be displayed at prominent location and should be visible from anywhere in the warehouse,Display Board,UA-UC,Medium,Medium,Yellow,Capex,27,
Client Leased,Open Plot,K,Review of Housekeeping practices,Review of Housekeeping practices,,,,,,,,,,,0,
Client Leased,Open Plot,K.1,Review of Housekeeping practices,Is Condition of Floors and Stairways good for safe material and staff movement?,,Floors and stairways are not safe for material and staff movement,Fall risk,The condition of the floor and stairways should be in good condition for safe movement of material and staff,Floor,UA-UC,High,High,Red,Opex,96,
Client Leased,Open Plot,K.2,Review of Housekeeping practices,Is provision of bins for collecting scraps garbage provided?,,Provision of bins for collecting scrap/garbage is not provided,Lack of 5 S standard and Hygiene issue,Provide  bins for collecting scrap/garbage,Bins,UA-UC,Low,Medium,Yellow,Opex,12,
Client Leased,Open Plot,K.3,Review of Housekeeping practices,"Is proper aisle marking provided for designate storage areas, clear zone areas or guide traffic.",,Aisle marking is not provided,Lack of 5 S Standard,Proper aisle marking should be provided to designate storage area and other things,Yellow Lines,UA-UC,Medium,Medium,Yellow,Capex,27,
Client Leased,Open Plot,K.4,Review of Housekeeping practices,Is MSDS of housekeeping chemicals available and displayed?,,MSDS of housekeeping chemical is not available and not displayed,Housekeeping staff may not be able to identify the hazards associated with the chemicals and required action to be taken in case of any emergency,SDS of the housekeeping chemicals should be made available and displayed,MSDS,UA-UC,Medium,Low,Yellow,Operatiol Action,6,
Client Leased,Open Plot,K.5,Review of Housekeeping practices,Is Housekeeping staff trained on chemical handling requirement ?,,Training to Housekeeping staff is not provided on chemical handling,Housekeeping staff may got injury due to improper handling of the chemicals,Training to the housekeeping staff on HK Chemical handling should be provided,Training,UA-UC,High,Medium,Yellow,Operatiol Action,12,
Client Leased,Open Plot,K.6,Review of Housekeeping practices,Is housekeeping maintained in good condition ?,,Housekeeping is not maintained in good condition.,Fire Risk/ Warehouse Hygiene issue,Housekeeping should be maintained in good condition.,Housekeeping,UA-UC,High,Medium,Red,Operatiol Action,36,
Client Leased,Open Plot,L,Review of Ventilation System,Review of Ventilation System,,,,,,,,,,,0,
Client Leased,Open Plot,L.1,Review of Ventilation System,Is adequate ventilation system available in the working premises?(Cross OR Turbo Ventilation),,Adequate ventilation system not available in the working premises,Improper ventilation,Adequate ventilation system should be made available in the working premises,Ventilation,UA-UC,High,High,Red,Capex,144,
Client Leased,Open Plot,L.2,Review of Ventilation System,Are areas identified where fumes exist from MHE battery charging or dust from any sources?,,Areas are not identified where dust and fumes exist,Health issue to employees may occur,All areas where dust/fumes exist should be identified to provide appropriate PPEs to the employee working in that area,Ventilation,UA-UC,Medium,Medium,Yellow,Opex,18,
